title,released,distributor,genre,rating,gross,tickets,imdb_id
Before I Disappear,2014-11-28,IFC Films,Drama,Not Rated,8251,1009,tt3279172
Next Year Jerusalem,2014-05-16,First Run Features,Documentary,Not Rated,8093,990,
The Empty Hours,2014-07-11,Strand,Drama,Not Rated,7879,964,tt3249158
Archipelago,2014-06-27,Kino Lorber,Drama,Not Rated,7791,953,tt1527835
Faith Connections,2014-09-12,Kino Lorber,Documentary,Not Rated,7772,951,tt2768766
Come Back to Me,2014-07-25,Freestyle Releasing,Horror,R,7744,947,tt2551396
Iceman,2014-09-19,Well Go USA,Action,R,7679,939,tt0087452
Concerning Violence,2014-12-05,Kino Lorber,Documentary,Not Rated,7241,886,tt3263690
Comet,2014-12-05,IFC Films,Romantic Comedy,R,7194,880,tt2965412
The Strange Color of Your Body's Tears,2014-08-29,Strand,Thriller/Suspense,Not Rated,7182,879,tt2733258
The ABC's of Death 2,2014-10-31,Magnet Pictures,Horror,Not Rated,7171,877,tt3292836
The Historian,2014-11-07,,Drama,Not Rated,7087,867,tt2714410
Stage Fright,2014-05-09,Magnolia Pictures,Horror,R,7078,866,tt0042994
Plot for Peace,2014-10-31,Trinity Film,Documentary,Not Rated,7051,863,tt2679680
Le jour se leve,2014-11-14,Rialto Pictures,Drama,Not Rated,6982,854,tt0031514
Eternity: The Movie,2014-10-17,Vagrant Films,Comedy,Not Rated,6960,851,tt2309762
Camille Claudel: 1915,2013-10-16,Kino Lorber,Drama,Not Rated,6941,849,tt2018086
Pioneer,2014-12-05,Magnolia Pictures,Thriller/Suspense,R,6847,838,tt2369205
"No God, No Master",2014-03-28,Monterey Media,Drama,PG-13,6796,831,tt1485761
I Am Ali,2014-10-10,Focus Features,Documentary,PG,6526,798,tt4008652
Revenge of the Mekons,2014-10-29,Music Box Films,Documentary,Not Rated,6487,794,tt1322362
Life Partners,2014-12-05,Magnolia Pictures,Comedy,R,6395,782,tt2870808
The Olivia Experiment,2014-08-22,Indican Pictures,Comedy,Not Rated,6366,779,tt2063819
More Than Honey,2013-06-12,Kino Lorber,Documentary,Not Rated,6347,776,tt2263058
Love & Air Sex,2014-02-07,TriBeca Films,Comedy,Not Rated,6047,740,tt0057012
In No Great Hurry: 13 Lessons in Life with Saul Leiter,2014-01-03,Self Distributed,Documentary,Not Rated,6033,738,tt2222584
The Hacker Wars,2014-10-17,Vitagraph Films,Documentary,Not Rated,5916,724,tt4047350
Black Nativity,2013-11-27,20th Century Fox,Musical,PG,5872,718,tt1425922
The Little Bedroom,2014-09-26,Cinema Libre,Drama,Not Rated,5816,711,tt1401669
Almost Human,2014-02-21,IFC Films,Horror,Not Rated,5710,698,tt2325517
The Punk Singer,2013-11-29,IFC Films,Documentary,Not Rated,5604,685,tt1785612
The Quitter,2014-09-12,Goodface Films,Drama,Not Rated,5588,683,tt2377194
Kid Cannabis,2014-04-18,Well Go USA,Drama,Not Rated,5565,681,tt0780548
Short Term 12,2013-08-23,Cinedigm,Drama,R,5518,675,tt2370248
Flex is Kings,2014-04-04,Baxter Brothers,Documentary,Not Rated,5418,663,tt2393799
Web Junkie,2014-08-06,Kino Lorber,Documentary,Not Rated,5338,653,tt2064745
At Berkeley,2013-11-08,Zipporah,Documentary,Not Rated,5254,643,tt3091552
"2 Autumns, 3 Winters",2014-06-06,Film Movement,Drama,Not Rated,5030,615,tt2871116
Violette,2014-06-13,Adopt Films,Drama,Not Rated,4981,609,tt0078467
Les beaux jours,2013-10-25,Mongrel Media,Drama,Not Rated,4919,602,tt0387058
The Worst Movie EVER!,2011-08-19,Hiltz Squared,Comedy,Not Rated,4907,600,tt1801113
Nothing Bad Can Happen,2014-06-27,Drafthouse Films,Horror,Not Rated,4871,596,tt2822400
Gabrielle,2014-04-18,Entertainment One,Drama,R,4804,588,tt0435479
Return to Nuke 'Em High Volume 1,2014-01-10,Anchor Bay Entertainment,Black Comedy,Not Rated,4790,586,tt2279922
Half the Road,2014-04-18,First Run Features,Documentary,Not Rated,4783,585,tt3226754
Smiling Through the Apocalypse,2014-09-12,First Run Features,Documentary,Not Rated,4560,558,tt2466654
Jews of Egypt,2014-03-28,ArtMattan Productions,Documentary,Not Rated,4506,551,tt2507458
Unrelated,2014-06-27,Kino Lorber,Drama,Not Rated,4419,540,tt1107850
Life of Riley,2014-10-24,Kino Lorber,Drama,Not Rated,4406,539,tt2751390
The Truth About Emanuel,2014-01-10,TriBeca Films,Drama,Not Rated,4404,539,tt1838520
Life of a King,2014-01-17,Alchemy,Drama,PG-13,4304,526,tt2708254
Manuscripts Don't Burn,2014-06-13,Kino Lorber,Drama,Not Rated,4279,523,tt2912144
The Devil's Hand,2014-10-10,Roadside Attractions,Thriller/Suspense,PG-13,4239,518,tt2290739
Nothing But a Man,2012-11-09,APD/Cinema Conservancy,Drama,Not Rated,4177,511,tt0058414
Northern Lights,2013-09-20,Artists Public Domain/Cinema Conservancy,Drama,Not Rated,4162,509,tt1363127
Thunder and the House of Magic,2014-09-05,Shout! Factory,Adventure,Not Rated,4091,500,tt3148834
Bicycling with Moliere,2014-04-23,Strand,Comedy,Not Rated,3896,476,tt2207050
The Mystery of Happiness,2014-09-12,Strand,Romantic Comedy,Not Rated,3894,476,tt3302594
Beyond Outrage,2014-01-03,Magnolia Pictures,Action,R,3878,474,tt1724962
Hollidaysburg,2014-09-19,Starz Media,Comedy,Not Rated,3709,453,tt3569326
Exists,2014-10-24,Lionsgate,Horror,R,3650,446,tt1988621
The Word,2014-03-14,Scarlet Sky Productions,Drama,Not Rated,3648,446,tt3509804
Hide Your Smiling Faces,2014-03-28,TriBeca Films,Drama,Not Rated,3576,437,tt1964773
Raze,2014-01-10,IFC Midnight,Action,R,3453,422,tt2111392
Life's a Breeze,2014-09-19,Magnolia Pictures,Comedy,R,3450,422,tt2132374
The Girl on the Train,2014-07-03,Monterey Media,Thriller/Suspense,R,3124,382,tt1183672
Showrunners: The Art of Running a TV Show,2014-10-29,Submarine Deluxe,Documentary,Not Rated,3100,379,tt1942971
Death Metal Angola,2014-11-07,The Vladar Company,Documentary,R,3098,379,tt2118609
Assistance mortelle,2014-02-28,Velvet Film,Documentary,Not Rated,3000,367,tt2373878
Aftermath,2014-11-28,Freestyle Releasing,Black Comedy,R,2955,361,tt0159241
V/H/S: Viral,2014-11-21,Magnolia Pictures,Horror,R,2756,337,tt3704538
Black Out,2014-02-21,Music Box Films,Action,Not Rated,2734,334,tt2114358
Tip Top,2014-12-12,Kino Lorber,Comedy,Not Rated,2732,334,tt2403981
Mercedes Sosa: The Voice of Latin America,2014-01-24,First Run Features,Documentary,Not Rated,2648,324,tt2568472
The Sleepwalker,2014-11-21,IFC Films,Drama,Not Rated,2636,322,tt2723576
Jake Squared,2014-08-15,Freestyle Releasing,Comedy,R,2592,317,tt2314374
Refuge,2014-03-28,Strand,Drama,Not Rated,2554,312,tt1844763
Don Jon,2013-09-27,Relativity,Romantic Comedy,R,2511,307,tt2229499
Revenge of the Green Dragons,2014-10-24,A24,Action,R,2500,305,tt1396523
Dinosaur 13,2014-08-15,Lionsgate,Documentary,PG,2500,305,tt3090252
The Protector 2,2014-05-02,Magnet Pictures,Action,R,2463,301,
To Die is Hard,2010-12-17,Driving With Our Eyes Shut,Comedy,Not Rated,2443,299,tt1562904
Evergreen: The Road to Legalization,2014-06-13,First Run Features,Documentary,Not Rated,2363,289,tt2897642
Stop the Pounding Heart,2014-09-19,Big World Pictures,Drama,Not Rated,2363,289,tt2855026
Moebius,2014-08-01,RAM Releasing,Drama,R,2340,286,tt2942522
Design is One,2013-10-11,First Run Features,Documentary,Not Rated,2308,282,tt2610862
Once Upon A Time Veronica,2014-08-29,Big World Pictures,Drama,Not Rated,2216,271,tt1663661
Missionary,2014-10-29,Freestyle Releasing,Thriller/Suspense,R,2120,259,tt2095713
The Right Kind of Wrong,2014-03-14,Magnolia Pictures,Drama,R,2098,256,tt2286990
Algorithms,2014-10-17,First Run Features,Documentary,Not Rated,2021,247,tt2616594
Stories We Tell,2013-05-10,Roadside Attractions,Documentary,PG-13,2015,246,tt2366450
Two-Bit Waltz,2014-10-24,Monterey Media,Comedy,R,1986,243,tt2570224
The Wait,2014-01-31,Monterey Media,Drama,R,1948,238,tt1675759
Born to Fly: Elizabeth Streb vs. Gravity,2014-09-10,The Film Collaborative,Documentary,Not Rated,1822,223,tt2246526
These Final Hours,2015-03-06,Well Go USA,Thriller/Suspense,Not Rated,1780,217,tt2268458
Rhymes for Young Ghouls,2014-10-24,Monterey Media,Drama,R,1776,217,tt2385195
Mr. Pip,2014-11-07,Freestyle Releasing,Drama,PG-13,1714,209,tt1485749
"If You Don't, I Will",2014-12-17,Film Movement,Comedy,Not Rated,1707,208,tt3202374
More Than the Rainbow,2014-05-02,First Run Features,Documentary,Not Rated,1677,205,tt1921027
Truth,2014-01-10,"Left of Center Entertainment, LLc",Thriller/Suspense,Not Rated,1626,199,tt3859076
Summer in February,2014-01-17,TriBeca Films,Drama,Not Rated,1624,198,tt2184287
The Trials of Muhammad Ali,2013-08-23,Kino Lorber,Documentary,Not Rated,1440,176,tt2489734
Ragnarok,2014-08-15,Magnolia Pictures,Adventure,PG-13,1369,167,tt2363213
The Life of Reilly,2007-11-09,Reel Diva Consultants,Concert/Performance,Not Rated,1267,155,tt0498366
Here Comes the Devil,2013-12-13,Magnolia Pictures,Horror,R,1263,154,tt2107648
People of a Feather,2013-11-08,First Run Features,Documentary,Not Rated,1194,146,tt1929346
The Tower,2014-11-07,Music Box Films,Drama,Not Rated,1117,136,tt2554270
Anything for Alice,2014-12-17,Rialto Pictures,Comedy,Not Rated,1092,133,tt2442502
We Are the Giant,2014-12-12,Music Box Films,Documentary,Not Rated,1088,133,tt3455850
The Family,2013-09-13,Relativity,Black Comedy,R,1081,132,tt2404311
The Butterfly Room,2014-04-11,Archstone Entertainment,Thriller/Suspense,Not Rated,1081,132,tt1612782
Demi-Soeur,2014-02-07,Rialto Pictures,Comedy,Not Rated,943,115,tt2200144
Free the Nipple,2014-12-12,IFC Films,Comedy,Not Rated,935,114,tt2298394
A People Uncounted,2014-05-16,First Run Features,Documentary,Not Rated,930,113,tt1848767
Jackpot,2014-06-27,Doppelganger Releasing,Action,Not Rated,806,98,tt1809231
The Last Days on Mars,2013-12-06,Magnolia Pictures,Thriller/Suspense,R,708,86,tt1709143
[REC] 4: Apocalypse,2015-01-02,Magnolia Pictures,Horror,R,708,86,tt1649443
Cinemanovels,2014-07-03,Monterey Media,Drama,R,670,82,tt2338062
Fonzy,2015-06-20,Distrib Films,Comedy,Not Rated,644,78,tt3077818
Jamel Shabazz: Street Photographer,2013-08-02,Artists Public Domain/Cinema Conservancy,Documentary,Not Rated,614,75,tt3116072
Frances Ha,2013-05-17,IFC Films,Comedy,R,572,70,tt2347569
Relationship Status: It's Complicated,2014-10-17,Distrib Films,Romantic Comedy,Not Rated,563,68,tt3202408
Grand d_part,2014-05-23,Rialto Pictures,Drama,Not Rated,459,56,
Son of a Gun,2015-01-23,A24,Action,R,411,50,tt2452200
Barbecue,2014-12-26,Distrib Films,Comedy,Not Rated,388,47,tt3202120
Computer Chess,2013-07-17,Kino Lorber,Comedy,Not Rated,323,39,tt2007360
